tt_action_item_id,time_begin,order_date,manual_fill,tr_id,geom,building_address
53700336705,2026-01-06 14:40:00,2026-01-06,False,129964,POINT (37.68318523 55.689356),"Нагатинская наб., д.54"
53700336767,2026-01-06 15:54:00,2026-01-06,False,129964,POINT (37.67802001 55.68790252),"Нагатинская наб., д.48"
53700336691,2026-01-06 15:03:00,2026-01-06,False,129964,POINT (37.67861316 55.68786526),"Нагатинская наб., д.48"
53700336704,2026-01-06 14:41:00,2026-01-06,False,129964,POINT (37.67802001 55.68790252),"Нагатинская наб., д.48"
53700336703,2026-01-06 14:42:00,2026-01-06,False,129964,POINT (37.67108991 55.68610829),"Нагатинская наб., д.40А"
53700336693,2026-01-06 15:00:00,2026-01-06,False,129964,POINT (37.66618995 55.68529988),
53700336690,2026-01-06 15:04:00,2026-01-06,False,129964,POINT (37.68375678 55.68933952),"Нагатинская наб., д.54"
53700336754,2026-01-06 16:16:00,2026-01-06,False,129964,POINT (37.67861316 55.68786526),"Нагатинская наб., д.48"
53700336689,2026-01-06 15:05:00,2026-01-06,False,129964,POINT (37.68962809 55.69077381),"Нагатинская наб., д.62"
53700336766,2026-01-06 15:55:00,2026-01-06,False,129964,POINT (37.67108991 55.68610829),"Нагатинская наб., д.40А"
53700336740,2026-01-06 16:36:00,2026-01-06,False,129964,POINT (37.7053565 55.68430957),"Коломенская ул., д.3"
53700336753,2026-01-06 16:17:00,2026-01-06,False,129964,POINT (37.68375678 55.68933952),"Нагатинская наб., д.54"
53700336707,2026-01-06 14:37:00,2026-01-06,False,129964,POINT (37.69448379 55.69114304),
53700336752,2026-01-06 16:18:00,2026-01-06,False,129964,POINT (37.68962809 55.69077381),"Нагатинская наб., д.62"
53700336743,2026-01-06 16:32:00,2026-01-06,False,129964,POINT (37.69516819 55.67831299),"Коломенская ул., д.21"
53700336741,2026-01-06 16:35:00,2026-01-06,False,129964,POINT (37.70250043 55.6829009),"Коломенская ул., д.7"
53700336730,2026-01-06 15:45:00,2026-01-06,False,129964,POINT (37.6908594 55.68040887),"ул. Речников, д.19"
53700336714,2026-01-06 14:29:00,2026-01-06,False,129964,POINT (37.68612322 55.67610673),
53700336729,2026-01-06 15:47:00,2026-01-06,False,129964,POINT (37.69396762 55.68474819),"ул. Речников, д.14, к.1"
53700336728,2026-01-06 15:48:00,2026-01-06,False,129964,POINT (37.69238404 55.68654617),"Судостроительная ул., д.44"
53700336472,2026-01-06 06:37:00,2026-01-06,False,129964,POINT (37.69860892 55.67965559),"Коломенская ул., д.15"
53700336466,2026-01-06 06:45:00,2026-01-06,False,129964,POINT (37.69396762 55.68474819),"ул. Речников, д.14, к.1"
53700336471,2026-01-06 06:38:00,2026-01-06,False,129964,POINT (37.69438885 55.6783303),"Коломенская ул., д.16"
53700336465,2026-01-06 06:46:00,2026-01-06,False,129964,POINT (37.69238404 55.68654617),"Судостроительная ул., д.44"
53700336479,2026-01-06 07:29:00,2026-01-06,False,129964,POINT (37.70043845 55.68048736),"Коломенская ул., д.11"
53700336529,2026-01-06 09:00:00,2026-01-06,False,129964,POINT (37.68612322 55.67610673),
53700336528,2026-01-06 09:01:00,2026-01-06,False,129964,POINT (37.68466248 55.67537437),"Затонная ул., д.14, к.2"
53700336525,2026-01-06 09:06:00,2026-01-06,False,129964,POINT (37.69238404 55.68654617),"Судостроительная ул., д.44"
53700336586,2026-01-06 14:09:00,2026-01-06,False,129964,POINT (37.70043845 55.68048736),"Коломенская ул., д.11"
53700336498,2026-01-06 09:46:00,2026-01-06,False,129964,POINT (37.68612322 55.67610673),
53700336497,2026-01-06 09:47:00,2026-01-06,False,129964,POINT (37.68466248 55.67537437),"Затонная ул., д.14, к.2"
53700336496,2026-01-06 09:49:00,2026-01-06,False,129964,POINT (37.69107562 55.67717012),"ул. Речников, д.25"
